Unnamed: 0,id,name,comment,rating,review_date,sentiment
10,11,Raquel Gonzalez Del Rey,el nuevo encargado javi se preocupa porque las instalaciones estén funcionando correctamente y limpias proporcionando una buena atención al cliente muy contenta por el cambio también se ha preocupado de ajustar las bicicletas de spinning ya sólo falta que vengan a arreglar la pantalla de spinning la cual está sin uso por estar estropeada,5,Fecha de edición: Hace 3 semanas,good
11,12,Andrea Lopez,el gimnasio está bien a pesar de ser pequeño pero hay un monitor iván que se dedica a molestar y acosar a las mujeres a mi personalmente ha llegado un momento que no me deja ni entrenar tranquila más que ha vulnerado la normativa de protección de datos con clientes no sé cómo después de varias quejas se sigue permitiendo esta actitud,1,Hace 2 meses,bad
12,13,Héctor Burgueño,¿hay alguna semana en la que alguna maquina no esté fuera de servicio? respondiendo a la respuesta de basic fit sobre el uso intensivo que lo entiendo y es obvio y completando mi reseña ha habido que yo sepa dos ocasiones en las que sin exagerar dos máquinas han estado fuera de servicio durante dos semanas seguidas cruce de polea y prensa de pierna eso no es precisamente darse prisa saludos,3,Hace 2 semanas,good
13,14,RAQUEL JIMENEZ,he venido a apuntarme y me han tratado fenomenal maría me ha aclarado todas las dudas q tenía y me he apuntado directamente un trato fabuloso,5,Hace una semana,good
14,15,jeremías núñez,en una hora y media no ha pasado por la sala ni un solo monitor de los dos que están trabajando y mientras todos los usuarios teniendo que aguantar que todo esté hecho un desastre,1,Hace 2 meses,bad
15,16,Carla Jimenez,centro donde puedes realizar un entrenamiento básico a veces te quedas corta de máquinas cuando vas en horas punta como sucede en todos los gimnasios positivo que hayan ampliando los horarios ivan es amable y atento a lo que puedas requerir cosa que se agradece por que la atención a los usuarios es muy importante han aumentado algunos elementos indispensable como barras y cuando hay algún deterioro en los muebles intentan arreglarlo lo antes posible antes tardaban más tiempo negativo pocas máquinas deficiente limpieza en los baños esto sumado a que hay muchas personas que no ayudan en el mantenimiento del sitio recién pintadas las paredes ya había rastro de maquillaje en las paredes justo al lado del espejo cosa inaceptable harán los mismo en su casa?,3,Hace 5 meses,good
16,17,Justo Bolsas,cuándo nos vamos a dejar de tonterías y tomarnos en serio el hecho de que el monitor sea un acosador de la continua desatención del orden y la higiene del gimnasio de la falta de monitorización de la clientela y de que todos los días parezca que estás adentro de un sauna? y para que me dejen una respuesta autogenerada claramente hecha con plantilla mejor no me contesten nada al final la impresión que me da es que a basic fit no le preocupa lo más mínimo el estado de sus gimnasios,1,Hace 2 meses,bad
17,18,Paloma P,muy buena experiencia en el gimnasio entrenadores muy majos y atentos gimnasio muy bien cuidado y limpio,5,hace 4 días,good
18,19,Jesús Sánchez,masificado a más no poder edit ya que pago este gimnasio es para ir a la hora que más me convenga además en lugar de controlar el aforo hacéis más promociones que no solucionan el problema sino que lo agrava una pena que madrid esté plagado de gimnasios con esta marca,1,Fecha de edición: Hace 3 semanas,bad
19,20,neily perez,excelente atención por parte de ivan ambiente genial para entrenar limpio ordenado 100 recomendado,5,Hace 5 meses,good
20,21,Pilar Lumbreras Cuesta,llevo un año viniendo a éste gimnasio y no puedo estar más contenta el trato recibido por el personal que está en recepción desde el principio fue muy bueno iván me orientó y me ayudó a tomar la decisión ya que por salud necesitaba que alguien me echara una mano empecé a trabajar con alejandro de la empresa f4 y a día de hoy sigo con él el gimnasio quizás no sea de los más grandes pero se puede trabajar muy bien todos los que trabajan allí forman un gran equipo y transmiten buen rollo y eso se nota en el ambiente,5,Hace 6 meses,good
21,22,Aroa Cadalso,llevo pocos meses viniendo a este gimnasio pero sin duda hay un ambiente muy bueno cabe destacar la simpatía y dedicación de los trabajadores de recepción son encantadores además el entrenador personal sí te ve haciendo algo mal se acerca a corregirte educadamente para que no te hagas daño y lo hagas bien eso dice mucho de su profesionalidad y dedicación en resumen estoy muy contenta y a gusto,5,Hace 5 meses,good
22,23,Fernando Cabrera,demasiado desorden hay equipo disperso por todos lados y aunque las señoritas de recepción ordenan hay varios usuarios que son desconsiderados y después de usar el equipo lo dejan desordenados una verdadera falta de respeto además que usan el teléfono en los aparatos y se clavan eternamente dificultando que otros lo usemos también han habido veces que he tenido discusiones con alguien por ese tema último,1,Fecha de edición: Hace 5 meses,bad
23,24,A M S.B,he pasado por la calle y el olor me ha llegado hasta ahí trabajo en la pescadería de la vaguada y nunca había experimentado una sensación tan desagradable menos mal que los propios usuarios manejan el aire acondicionado porque si fuera por los monitores se mantendría la misma temperatura en invierno que en verano,1,Hace 5 meses,bad
24,25,Pablo Granda,es muy pequeño para la cantidad de inscritos y casi nunca hay maquinas libres entiendo no se puede estar solo en el gym pero noto desde septiembre muchas veces el 80 90 de las maquinas están ocupadas con varias personas,1,Hace 4 semanas,bad
25,26,Rasta Palla,hay un monitor que se llama iván y que ya le estaba sobando la cintura a una chica en su primer día de gimnasio se pega demasiado a las chicas y las hace sentir incómodas algunas evitan ir al gimnasio los días que él trabaja para que deje de estar encima de ellas no recomiendo venir a este gimnasio si eres mujer,1,Hace 2 meses,bad
26,27,Raul Rodriguez,buen trato en el club limpio y ordenado sobre todos por las mañanas lo recomiendo,5,Hace 2 semanas,good
27,28,cruz barrios,ya a casi 2 años en este gym me siento bastante contenta por el trato y el ambiente agradable es organizado y limpio ya que es importante para nosotros los usuarios lo que sí he notado que hacen falta máquinas para isquios y gemelos así como también barras w como dije anteriormente excelente el trato del personal de recepción incluida andrea que ya no está formando parte del grupo de iván felicitaciones para ellos,5,Hace 6 meses,good
28,29,Luis Matos,excelente turno en la mañana todo muy ordenado limpio y el monitor súper atento el mejor horario,5,hace 4 días,good
29,30,Deyla Morales,me atendió maría y fue una chica muy gentil y agradable fue completa la informacion gracias,5,Hace una semana,good
30,31,Bárbara Navas,súper contenta con básicamente fit! un gimnasio completo bien equipado y con muy buen ambiente las instalaciones están siempre limpias y hay variedad de material para entrenar tanto fuerza como cardio lo mejor de todo es el trato humano iván es majísimo siempre está pendiente te ayuda con los ejercicios y te motiva sin agobiar se nota que le gusta lo que hace y eso se transmite da gusto entrenar así ¡recomendadísimo!,5,Hace 3 meses,good
31,32,Sara Romero,si te apuntaste hoy llevas 1 día no lo conoces no dejes una reseña positiva el gimnasio está en un estado de desatención absoluta y no merece ni una reseña de 5 estrellas gracias,1,Hace 5 meses,bad
32,33,Nieves Ruiz,este gym es estupendo me gusta mucho el ambiente es muy agradable y familiar además tienen el aire acondicionado potente que se agradece mucho en verano,5,Hace 5 meses,good
33,34,Emely Carrasquero,¡excelente atención! desde el primer momento me explicaron todo con muchísima claridad y paciencia el proceso de inscripción fue rápido y sencillo gracias a liliana que fue súper amable y profesional se nota que se preocupan por ofrecer un buen servicio y por hacerte sentir cómodo desde el principio ¡muy recomendados!,5,Hace 5 meses,good
34,35,Adela Caballero,me gustó mucho la atención que nos dieron al apuntarnos se ve un gimnasio muy limpio y ordenado todo adecuado para poder entrenar a gusto,5,Hace 5 meses,good
35,36,Juan Carlos Estupiñan Romero,me encanta entrenar pero más en esta sede por la execelente atención y colaboración de empleada maría todos deberían tener este nivel de atención con el público gracias maría,5,Hace un mes,good
36,37,Llorraine Silva,buen trato del compañero jesús tiene las instalaciones impecables así da gusto entrenar,5,Hace una semana,good
37,38,Juanfer quintero,buen club se entrena a gusto buenos monitores sobre todo jesus el chico por las mañanas,5,Hace una semana,good
38,39,Diego Jareño,maría de basic fit muy amable y atenta me explico todo genial y me resolvió todas las dudas sin duda estoy encantado con este gimnasio,5,Hace un mes,good
39,40,Patricia Arevalos,muy amable el monitor de las mañanas lo único hace falta más máquinas en el gym,5,Hace una semana,good
40,41,Old school bodybuilding,ivan y los monitores están atentos y ayudan en cualquier momento falta maquinaria y tanto cuesta ?? • no hay máquina de gemelo • ni de femoral tumbado •ni jaca o sentadilla •se podría eliminar bastantes máquinas de cardio ocupando espacio pudiendo dejar sitio para introducir otras máquinas tipo jalón o pecho inclinado • eliminar dos máquinas que justo al lado de la prensa hidráulica por lo demás muy buen ambiente entre la gente,4,Hace 6 meses,good
41,42,David,muy buen ambiente y no suele estar muy lleno como consejo de mejora se podría ver como ampliar el espacio ya que cuando empiece a venir más gente se va a quedar pequeño también tienen de todo pero igual un banco más o un rack más no vendría mal para cuando coincidimos en la rutina jajaja,5,Hace 6 meses,good
42,43,Jessica Morocho,muy buena atención del recepcionista héctor en cada paso de la inscripción fue amable y atento,5,Hace una semana,good
43,44,Rosa Melano,no sé qué es peor si los grupos de brócolis que masifican el gimnasio los que hacen todos los días videollamada mientras ocupan las máquinas la escasa limpieza del gimnasio o el que persigue a las mujeres,1,Hace 2 meses,bad
44,45,faisuri fori garces,me gusta el gym un servicio excelente los chiscos son muy amables lo recomiendo,5,hace 4 días,good
45,46,Altagracia Duarte beato,estoy muy contenta con el gym pero siento q debería haber más máquina de abductores creo q es el nombre ya q solo hay una y muchas veces se forma cola ayer fui a entrenar y no pude usarla por lo demás todo muy limpio y la gente amable…,5,Fecha de edición: Hace 4 meses,good
46,47,Josema Garrido,cero control del aforo saturadísimo muy recomendable si lo que buscas es no poder entrenar pequeño y poca variedad,1,Fecha de edición: Hace 5 meses,bad
47,48,juan martin,el último gimnasio en el que estuve fue el de la prisión y fue mejor que este por no hablar del trato de los monitores que no son capaces de recoger las pesas de 20 kilos porque dicen que pesan demasiado estas cosas me hacen echar de menos soto del real,1,Hace 5 meses,bad
48,49,Ana Hernández,me gustaría destacar la profesionalidad y amabilidad de iván y andrea siempre están atentos a las necesidades de todo el mundo y se esfuerzan cada día en crear un ambiente motivador y agradable he estado en otros muchos gimnasios pero solo por ellos merece la pena venir a éste,5,Hace 6 meses,good
49,50,K,todo muy limpio ahora ha mejorado bastante el servicio liliana mantiene todo en orden y muy limpio se nota su dedicación y compromiso ¡da gusto entrenar así!,5,Hace 5 meses,good
50,51,leidy laura,el lugar super agradable además de que todas las mañanas puedo disfrutar hacer mis rutinas sin problema muy limpio me gusta mucho,5,Hace 5 meses,good
51,52,Laura Izquierdo Castellano,¡gimnasio excelente! instalaciones limpias equipos modernos y buen ambiente el personal es amable ideal para cualquier nivel ¡muy recomendado!,5,Hace 5 meses,good
52,53,Carmen,me gusta todo lo que veo en el gimnasio las maquinas e instalaciones están bien cuidadas el personal muy atento,5,Hace 5 meses,good
53,54,Ángela Gómez López,estar en el gimnasio es como estar en casa buen ambiente los monitores se portan genial ayudan cada vez que lo necesitas echo de menos alguna máquina más de glúteo por todo lo demás correcto!,5,Hace 5 meses,good
54,55,Juan Jimenez,me gusta mucho el ambiente que se respira en el gimnasio muy limpia todas las instalaciones y la atención de iván y sus chicos es de lujo pero me gustaría que nos trajeran más máquinas de piernas para hacer un entrenamiento mucho más completo,5,Hace 6 meses,good
55,56,Marilin Zambrano,excelente atención súper limpio y ordenado todo a lo mejor sería necesario implementar más máquinas ya que se quedan muy cortas además también sería genial que trajeran clases colectivas para agrandar los espacios,5,Hace 6 meses,good
56,57,Alicia Portela Estévez,últimamente el gimnasio deja mucho que desear ya no es lo que era los monitores no son profesionales y tienen cierta preferencia por las clientas no hacen lo que tienen que hacer y en consecuencia está todo desordenado,1,Hace 4 meses,bad
57,58,Jeydin,me a gustado mucho la chica muy amable maria y me ayudo mucho con mis preguntas lo recomiendo,5,Hace 2 semanas,good
58,59,Carlie,muy descontenta con este gimnasio las instalaciones están sucias casi siempre muchas de las máquinas defectuosas y la actitud del personal a veces resulta inapropiada y poco profesional,1,Hace 4 meses,bad
59,60,Raquel Fernández Cuadrado,gimnasio muy tranquilo y muy bien ubicado a primera hora se entrena muy bien ivan es muy majo y está pendiente para echarte una mano cuando necesites si biescas un gym tranquilo y completo para entrenar este es tu sitio!,5,Hace 5 meses,good
60,61,mari atienza lobato,es un gimnasio con muy buen ambiente se entrena muy agusto venía de otro gimnasio y el cambio ha sido totalmente a mejor además siempre están pendientes por si necesitas cualquier cosa sin duda un acierto,5,Hace 5 meses,good
61,62,Reme Barbero,encantada con el servicio he ido a inscribirme hoy y liliana la chica que nos atendió ha sido muy amable nos ha explicado todo muy bien y hemos salido encantados empezaremos anana iamo aconsejo mucho el trato excepcional,5,Hace 5 meses,good
62,63,Jellal,me gusta el establecimiento porque está muy bien con los aires acondicionados ahora que hace calor se está bien para entrenar y la atención muy buena la gente es agradable la decoración a veces no se lucen mucho pero de resto es un gym recomendable estaría bien que fuera más grande pero por el espacio cumple perfectamente con lo que se necesita,4,Hace 5 meses,good
63,64,MARU RODRIGUEZ,todo bien los chicos ambiente agradable se lo recomiendo en preferencia siempre en la mañana saludos,5,Hace un mes,good
64,65,Roberto Herrero,es un gran gimnasio llevo yendo desde después de la pandemia y tiene todo lo necesario para entrenar bien las personas son por lo general muy agradables gracias a los trabajadores por el trato amable que dais,5,Hace 6 meses,good
65,66,Evaristo P. Jiménez,el gimnasio parece un gimansio de los que hay en cualquier parque en madrid pobre en maquinas y en espacio puede ser el peor de madrid con diferencia masificado sin poder entrenar porque no hay ninguna máquina duplicada,1,Hace 2 meses,bad
66,67,Viera Q'arte,buen servicio y amabilidad las máquinas en orden y limpio todo se entrena a gusto,5,Hace un mes,good
67,68,Carlos,héctor muy buena persona atención amable agradecido por todo con el por su gran ayuda,5,Hace una semana,good
68,69,anapats318@gmail.com S R,me gusta mucho el gimnasio y la atención que me dan en recepción en especial iván a pesar de que en algunas ocasiones está muy lleno el ambiente que se siente en el gym es muy bueno,5,Hace 5 meses,good
69,70,Nancy Morocho,héctor un buen profesional nos atendió super bien con la inscripción,5,Hace una semana,good
70,71,Alvaro Calvo,yo el servicio todo excelente buen personal buen ambiente gym acogedor te saludass gente simpática te acosegan y te ayudan en lo que puedan me parece un gym normal hay muchas máquinas incluso metería alguna máquina nueva incluido de abdominal o pectoral pero lo demás genial,4,Hace 6 meses,good
71,72,Raul Soto,excelente sitio regularmente hay máquinas suficientes para los que asistimos al mismo timepo trato amable buen ambiente saludos a iván,5,Fecha de edición: Hace 4 meses,good
72,73,Juan Carlos Vigaray Ballano,me encanta este gimnasio siempre que no tiro de genética y vengo a entrenar el trato de los chicos es increíble y las instalaciones son muy buenas y están bien cuidadas,5,Hace 5 meses,good
73,74,Rafa Lopez,muy bien buen ambiente tod s muy majos y maria de recepción muy maja también 10 de 10,4,Hace un mes,good
74,75,Rosa delia Alvarez quioto,me gusta entrenar acá pero aunque no sea culpa de los monitores muchas personas se quedan en las máquinas viendo el móvil y no nos dejan aprovechar el tiempo para poder entrenar la gente debería de ser más consciente de estos casos para no incomodar a los demás,5,Hace 5 meses,good
75,76,Katy Mane,me gusta mucho la atención y la limpieza de las instalaciones soy habitual en este gym y quisiera que nos trajeran más máquinas para mejorar los entrenamientos,5,Hace 5 meses,good
76,77,Katherine Godoy Da Corte,me encanta este gym porque me queda al lado del trabajo que lastima que es tan pequeño debería ser más grande así habrían clases colectivas y más maquinas,5,Hace 6 meses,good
77,78,luis cuartin,hay un entrenador y recepcionista que se pasa un poco con sus comentarios acosa a mujeres sin dejarlas entrenar o les da un momento incómodo sin dejar de hablar y a las personas un poco subidas de peso les dice comentarios fuera de tono la verdad me incómodo mucho!,1,Hace 5 meses,bad
78,79,Tathiana Revolledo,me gusta mucho el ambiente del gimnasio los chicos y su atencion es excelente pero quisiera que traigan maquinas nuevas para espalda y gluteos sobre todo ya que es un luy buen gym pero necesita inversion en cuanto a eso para mejorar los entrenamientos,5,Hace 6 meses,good
79,80,Carlota Lafuente,buen ambiente tiene lo necesario gente de recepción amable mejoraría poniendo alguna polea ya qué se quedan escasas lo recomiendo,5,Hace 5 meses,good
80,81,Diego Celorio Morales,muy buen servicio calidad precio buenas instalaciones y un trato muy agradable por parte de maría,5,Hace 3 semanas,good
81,82,Oskar Kastillo,buen gimnasio me gusta pero hace falta máquinas nuevas e innovar un poco para que sea más funcional y práctico maquinas de pecho piernas brazos etc,5,Hace 5 meses,good
82,83,alejandra muñoz,hoy hemos ido al basic fit a pedir información y nos a atendido javi muy buena atención y nos a explicado un poco todas opciones que hay y sin duda hemos cogido una,5,Hace 2 semanas,good
83,84,Jr Mon,me gusta la atención de todo el personal muy buen ambiente para entrenar y las instalaciones están muy limpias y bien cuidadas felicidades,5,Hace 6 meses,good
84,85,iixii8,muy buen gimnasio a primera hora hay poca gente e iván nos ha ayudado mucho con los ejercicios seguiremos entrenando aquí!,5,Hace 5 meses,good
85,86,Frank Castillo Polanco,mi experiencia como socio del gim de monforte es excelente todos los chicos y chicas que trabajar alli son espectaculares muy amables y profesionales ademas de dar un excelente servicio el gim lo matienen impeccable la verdad que estoy muy satisfecho de haber elegido esta sucursal para ir a entenar …,5,Hace 6 meses,good
86,87,Iraidis Gonzalez,me gusta mucho el ambiente los chicos de la recepción excelente mantienen todo limpio y organizado solo faltaría mejorar las máquinas y ampliar el espacio,5,Hace 6 meses,good
87,88,Marcos Redondo,buen club entrenadores y personal cercanos y amables buen precio y muy recomendable,5,Hace un mes,good
88,89,Yessika Golindano,las instalaciones super limpias y bien mantenido el gym los usuarios resaltan las limpiezas buena buen trato a los clientes una experiencia agradable durante los entrenamientos excelente personal,5,Hace 6 meses,good
89,90,Maria Gabriela Ruiz,no tenía quejas hasta que cambiaron la política para los acompañantes sin previo aviso por lo demás buen servicio instalaciones muy buenas limpio y los monitores muy amables y atentos,5,Hace 5 meses,good
90,91,Yaneli Cardenas,le falta más maquinas es muy pequeño el lugar no se puede entrenar a gusto por falta de máquinas para gluteos no hay una zona específica para hacer el hittrust,1,Hace 3 meses,bad
91,92,AMERICA TODA,soy socio de basic fit desde hace 3 años y he entrenado en varios centros pero debo decir que por la calidad humana de su personal y de los socios monforte de lemos es el mejor todos los chicos que a diario están allí siempre están con muy buena disposición para ayudarnos y generar el mejor ambiente posible para entrenar lástima que no han traído máquinas de femorales y cuádriceps porque solo hay una de cada una y se colapsa por la cantidad de gente que hay de resto debo felicitarlos por su gran atención,5,Hace 6 meses,good
92,93,Maria Esther Castellanos,es mi primer día la chica liliana y el chico ivan muy atentos y pacientes me explicaron todo el proceder estoy muy contenta por la acogida que me han dado en este hermoso gym …,5,Hace 5 meses,good
93,94,Eugenia Benítez,me gustó mucho la atención que nos dió javi muy amable muy claro en todo!!,5,Hace un mes,good
94,95,rodrigo damian portillo ferrer,buen gimnasio buena atención en especial de jesús 100 recomendable,5,Hace un mes,good
95,96,Virginia Gonzalez,muy buen gimnasio con personal amable pero falta espacio para clases colectivas y poder tener clases virtuales,5,Hace 5 meses,good
96,97,Arthas MQ,parece un gimnasio más hasta que te das cuenta de que por primera vez hay gente que te ayuda y te trata profesional y personalmente por igual gracias a iván y a andrea por crear ese ambiente tan respetuoso y amigable totalmente recomendado!!!,5,Hace 6 meses,good
97,98,JEAN-PIERO SALAS,excelente atención del personal el gym tiene todo sus socios son personas de respeto y buena amistad no se pierden los objetos y nadie está al tanto de robar,5,Hace 5 meses,good
98,99,Iván Rilo,buen gimnasio y muy buen trato!! se me rompió el candado y nos ayudaron súper majos,5,Hace 5 meses,good
99,100,jose,como mejora día a día este gym un trabajador nuevo responsable atento en su sitio cada vez estoy más agusto gracias basic no cambies y yo estaré por cierto se llama javi,5,Fecha de edición: Hace un mes,good
100,101,concha salcedo garcia,fui a pedir información y la atención brindada por la recepcionista es excepcional cercana y muy amable el gimnasio para entrenar está bien ambiente muy familiar evitar horas puntas de la tarde,5,Hace 7 meses,good
101,102,Alieska Barreto,buena atención amable y agradable servicio forma súper bien,5,hace 4 días,good
102,103,Jacqueline Ortiz Reyes,me gusta mucho el gimnasio y la atención que me dan cada día cuidan muy bien las instalaciones,5,Hace 5 meses,good
103,104,Jonathan Moneo,muy contentos con la atención de liliana nos ha dejado todo muy claro y nos ha motivado mucho a seguir nuestro plan de entrenamiento una gran persona,5,Hace 5 meses,good
104,105,Maite Mugica,me gusta el gym pero le falta espacio y más máquinas para que el tiempo de espera sea menor,5,Hace 5 meses,good
105,106,liltonimp,el gimnasio muy bien con bastantes máquinas y la gente muy maja junto a la de recepción liliana que me trató muy bien,5,Hace 5 meses,good
106,107,elias,si algún día vas por la calle con 40 grados bajo el sol y piensas hm me gustaría que esté mas caluroso este es tu gimnasio,1,Hace 4 meses,bad
107,108,Alex Thomas Alfaro Quesada,muy amplio y limpio el gym me encanta y la cantidad de personas durante los fines de semana es poca,5,Hace 5 meses,good
108,109,Fadi EKC,el gimnasio está genial el personal es muy amable y tiene la cantidad perfecta de máquinas para un entrenamiento productivo,5,Hace 5 meses,good
109,110,David Villa,gimnasio amplio con bastantes máquinas para hacer cardio quizás hacen falta más máquinas pero de momento no hay problemas,5,Hace 5 meses,good
110,111,Luisa Fernanda MG,el gym es en todo frente de la vaguada está muy bien y tiene las máquinas necesarias para hacer un entreno completo ! recomendado 100,5,Hace 5 meses,good
111,112,Laura Gil,muy buen gimnasio con muchas facilidades y sedes en muchos puntos para entrenar estés donde estés y lo mejor de todo es el horario tan amplio que tienen!,5,Hace 6 meses,good
112,113,Choukry Moujane,una bienvenida muy cálida por parte del entrenador ivan y un buen club bastante tranquilo y limpio,5,Hace 5 meses,good
113,114,Isabel Marrtínez Durá,muy buen gimnasio buenas máquina y buen espacio de entreno personal muy amable y atento,4,Hace 5 meses,good
114,115,Coral Martín,el gimnasio cada día está peor algunos monitores se entretienen en lo que no deben en lugar de a mantener todo ordenado y en buenas condiciones,1,Hace 4 meses,bad
115,116,sergio martinez,las máquinas bien los baños bien el servicio bien el problema es el tamaño y el exceso de aforo sobre todo por las tardes se debería regular un poco o algo,3,Hace 5 meses,good
116,117,Juan Teran,no está mal pero para el aforo de personas que va a entrenar queda un poco pequeño además de esto pienso que deberían aprovechar un poco mejor el espacio y agregar al menos un par que máquinas más de lo demás todo bien personal mantenimiento etc etc,3,Hace 7 meses,good
117,118,Adolfo Duro Menendez,estoy en este gimnasio y los entrenadores que hay son muy majos y serviciales y la gente que hay muy amigable lo recomiendo a la gente que quiera venir …,5,Hace 5 meses,good
118,119,jesus javier petit romero,excelente sucursal de basic fit todo el equipo de trabajo bastante agradables y cuidan mucho del gym manteniendo en todo momento el orden y la limpieza del gym brindándoles a los cliente la mejor experiencia diaria posible para disfrutar de las instalaciones muchas gracias a basic fit y cuiden mucho estos trabajadores que tienen,5,Hace 6 meses,good
119,120,Sebastián,la atención excelente y nos han ayudamos siendo nuestra primera vez en un gimnasio,5,Hace 5 meses,good
120,121,javier arruabarrena sabroso,gimnasio usualmente muy lleno y con demasiados chavales pequeños haciendo el cafre por lo demás un basic fit como cualquier otro,3,Hace 3 meses,good
121,122,David Garcia,buen gimnasio mejor personal pero seria necesario mas maquinas como por ejemplo press banca y press banca inclinada,5,Hace 5 meses,good
122,123,jose david arenas gonzalez,excelente atención super recomendado la información fue muy oportuna por parte de maría !!,5,Hace 4 semanas,good
123,124,Milagros Polanco,muy buen gym más que todo por las mañanas con jesús,5,Hace 3 semanas,good
124,125,Fernanda,el mejor gimnasio que he frecuentado los instructores el personal nos hace sentir muy cómodos todos muy prestativos súper recomiendo…,5,Hace 6 meses,good
125,126,Juan Cruz De Marco,domingo 15 de junio 13 00 hs llega el verano y ya empieza el descuido…tienen el aire apagado no hay música puesta y tienen todas las máquinas sin aceitar,1,Hace 4 meses,bad
126,127,Jorge Castaño Belda,el gimnasio no está mal pero es exasperante tener que hacer cola para hacer un ejercicio hace falta más variedad de máquinas o añadir duplicados!,2,Hace 5 meses,bad
127,128,Anrob Philco,el gimnasio va bien pero hacen falta máquinas como la hack y femorales acostados del resto todo ok,5,Hace 5 meses,good
128,129,Ana Belen Varela Albaladejo,soy clienta desde hace años y quiero destacar que desde que está jesús nuevo staff del centro las instalaciones están muchísimo más limpias y eso es digno de destacar y desde aquí dar las gracias a jesús por su buen trabajo,5,Hace 6 meses,good
129,130,Catalina Martínez,todos los gimnasios tienen su particularidad es un gimnasio que promueve el ejercicio para todos los públicos lo recomiendo,4,Hace 2 meses,good
130,131,Luz Blanco Herrera,muy buena expericiencia con liliana ! nos explicó todo el funcionamiento del gimnasio con mucha simpatía,5,Hace 5 meses,good
131,132,Cristina García Álvarez,bastante descontenta con este gimnasio últimamente cada vez está todo peor y más desordenado hay algunos monitores que se dedican más a molestar a las clientas que a hacer su trabajo,1,Hace 4 meses,bad
132,133,Daniel Alzate,excelente atención de recepción y buen trato,5,Hace una semana,good
